taxon_name,taxon_harmonised
abies,Abies
abies_sibirica,Abies sibirica
acacia,Acacia
acer,Acer
aesculus,Aesculus
alangium,Alangium
alnus,Alnus
alnus_glutinosa,Alnus glutinosa
alnus_glutinosa_type,Alnus
alnus_hirsuta,Alnus hirsuta
alnus_hirsuta_type,Alnus
alnus_incana,Alnus incana
alnus_subg_alnobetula,Alnus
alnus_undiff,Alnus
alnus_viridis,Alnus alnobetula
alnus_viridis_subsp_fruticosa,Alnus viridis fruticosa
alnus_viridis_subsp_fruticosa_type,Alnus alnobetula
amygdaloideae,Rosaceae
anacardiaceae,Anacardiaceae
andromeda,Andromeda
aphanamixis_type,Aphanamixis
aporosa,Aporosa
arbutus,Arbutus
arceuthobium,Arceuthobium
arctostaphylos,Arctostaphylos
atraphaxis,Atraphaxis
atraphaxis_type,Atraphaxis
berberidaceae,Berberidaceae
berberis,Berberis
betula,Betula
betula_cf_b_fruticosa,Betula
betula_cf_b_nana,Betula
betula_cf_b_pendula,Betula
betula_costata,Betula costata
betula_dahurica,Betula dahurica
betula_ermanii,Betula ermanii
betula_fruticosa,Betula fruticosa
betula_humilis,Betula intermedia
betula_nana,Betula nana
betula_nana_subsp_exilis,Betula nana exilis
betula_nana_type,Betula
betula_pendula,Betula pendula
betula_pendula_subsp_mandshurica,Betula pendula mandshurica
betula_pubescens,Betula pubescens
betula_pubescens_type,Betula
betula_pubescens_var_pumila,Betula pubescens pumila
betula_schmidtii,Betula schmidtii
betula_sect_apterocaryon,Betula
betula_sect_apterocaryon_type,Betula
betula_sect_betula,Betula
betula_sect_betula_type,Betula
betula_sect_costatae,Betula
betula_subg_betula,Betula
betula_undiff,Betula
betulaceae_undiff,Betulaceae
bignoniaceae_undiff,Bignoniaceae
buxus,Buxus
calligonum,Calligonum
calluna,Calluna
calluna_type,Calluna
calluna_vulgaris,Calluna vulgaris
cannabaceae,Cannabaceae
capparis,Capparis
caprifoliaceae,Caprifoliaceae
caprifoliaceae_sensu_lato_undiff,Caprifoliaceae
caprifoliaceae_undiff,Caprifoliaceae
carpinus,Carpinus
carpinus_betulus,Carpinus betulus
carpinus_betulus_type,Carpinus
carpinus_cordata,Carpinus cordata
carpinus_orientalis,Carpinus orientalis
carpinus_tschonoskii,Carpinus tschonoskii
carpinus_type,Carpinus
carya,Carya
carya_type,Carya
cassiope,Cassiope
castanea,Castanea
castanea_castanopsis,Castanea
castanea_sativa,Castanea sativa
castanopsis,Castanopsis
casuarina,Casuarina
catalpa,Catalpa
cedrus,Cedrus
cedrus_broken,Cedrus
